3,14
3,46
4,14
4,46
5,14
5,46
6,14
6,46
7,14
7,46
8,14
8,46
9,14
10,14
13,1
25,1
27,1
29,1
35,1
35,24
35,38
35,51
36,1
36,24
36,38
36,51
37,1
37,24
37,38
37,51
38,1
38,24
38,38
38,51
39,1
39,24
39,38
39,51
55,15
55,53
56,15
56,53
57,15
57,53
58,15
58,53
59,15
59,53
60,15
60,53
61,15
61,53
68,1
68,33
68,41
68,49
69,1
69,33
69,41
69,49
70,1
70,33
70,41
70,49
71,1
71,33
71,41
71,49
72,1
72,33
72,41
72,49
73,1
73,33
73,41
73,49
106,1
108,1
110,1
115,15
116,15
117,15
122,1
122,33
122,41
122,49
123,1
123,33
123,41
123,49
124,1
124,33
124,41
124,49
125,1
125,33
125,41
125,49
126,1
126,33
126,41
126,49
141,1
141,49
141,57
142,1
142,49
142,57
143,1
143,49
143,57
144,1
144,49
144,57
145,1
145,49
145,57
